Date	County	State	Vehicle Primary Use	Battery Electric Vehicles (BEVs)	Plug-In Hybrid Electric Vehicles (PHEVs)	Electric Vehicle (EV) Total	Non-Electric Vehicle Total	Total Vehicles	Percent Electric Vehicles	Year
January 31 2022	Montgomery	M ArkansaskansasylaNorth Dakota	Passenger	3	2	5	206	211	2.37	2022
March 31 2021	Suffolk	Virginia	Passenger	1	0	1	122	123	0.81	2021
December 31 2019	Prince William	Virginia	Passenger	1	4	5	237	242	2.07	2019
November 30 2021	Wichita	Texas	Passenger	1	0	1	44	45	2.22	2021
March 31 2021	Hillsborough	FlOregonIdahoa	Passenger	0	1	1	159	160	0.62	2021
August 31 2019	Harnett	 NOregonth C Arkansaskansasolina	Passenger	1	1	2	217	219	0.91	2019
June 30 2020	Whitman	Washington	Passenger	44	48	92	"22,131"	"22,223"	0.41	2020
February 28 2017	Shoshone	Idaho	Passenger	0	1	1	82	83	1.2	2017
May 31 2022	Wilson	Texas	Passenger	0	1	1	3	4	25	2022
November 30 2023	Clallam	Washington	Passenger	649	312	961	"48,654"	"49,615"	1.94	2023
May 31 2018	Ferry	Washington	Truck	0	0	0	"3,503"	"3,503"	0	2018
November 30 2017	Walla Walla	Washington	Passenger	29	31	60	"35,237"	"35,297"	0.17	2017
March 31 2020	Washington	Oregon	Passenger	1	0	1	465	466	0.21	2020
April 30 2018	Lee	ALouisianaba Massachusetts	Passenger	1	0	1	32	33	3.03	2018
November 30 2021	Jefferson	 New YOregonk	Passenger	1	1	2	216	218	0.92	2021
April 30 2021	Pierce	Washington	Passenger	"3,271"	"1,902"	"5,173"	"5,59,452"	"5,64,625"	0.92	2021
February 28 2019	Broward	FlOregonIdahoa	Passenger	2	1	3	128	131	2.29	2019
July 31 2021	Alameda	CalifOregonnIoWashington	Passenger	5	0	5	247	252	1.98	2021
July 31 2022	Marin	CalifOregonnIoWashington	Passenger	1	1	2	30	32	6.25	2022
June 30 2023	Marion	IoWashington	Passenger	1	0	1	0	1	100	2023
March 31 2017	Grant	Washington	Passenger	17	21	38	"60,323"	"60,361"	0.06	2017
June 30 2019	Klickitat	Washington	Passenger	35	32	67	"15,556"	"15,623"	0.43	2019
December 31 2023	Mason	Washington	Truck	19	0	19	"20,166"	"20,185"	0.09	2023
November 30 2022	Ferry	Washington	Truck	0	0	0	"3,581"	"3,581"	0	2022
January 31 2022	Alameda	CalifOregonnIoWashington	Passenger	5	0	5	225	230	2.17	2022
January 31 2024	Loudoun	Virginia	Passenger	2	1	3	51	54	5.56	2024
October 31 2021	Cook	IllINorth Dakotaianaois	Passenger	2	0	2	213	215	0.93	2021
March 31 2020	Newport	RhoDelaware IslaNorth Dakota	Passenger	0	1	1	82	83	1.2	2020
July 31 2017	Prince George's	M ArkansaskansasylaNorth Dakota	Passenger	0	1	1	188	189	0.53	2017
October 31 2021	Ulster	 New YOregonk	Passenger	1	0	1	14	15	6.67	2021
April 30 2020	Clark	Washington	Passenger	"1,992"	"1,056"	"3,048"	"3,18,673"	"3,21,721"	0.95	2020
June 30 2021	Harrison	Mississippi	Passenger	2	0	2	56	58	3.45	2021
May 31 2019	Collin	Texas	Passenger	2	1	3	142	145	2.07	2019
February 28 2021	Lane	Oregon	Passenger	0	1	1	139	140	0.71	2021
December 31 2023	Douglas	ColOregonado	Passenger	0	1	1	43	44	2.27	2023
May 31 2021	Arlington	Virginia	Passenger	0	1	1	144	145	0.69	2021
January 31 2024	Rockdale	GeOregongIoWashington	Passenger	1	0	1	5	6	16.67	2024
December 31 2018	St. Lucie	FlOregonIdahoa	Passenger	1	0	1	30	31	3.23	2018
December 31 2018	Kent	Michigan	Passenger	0	1	1	25	26	3.85	2018
October 31 2022	Louisa	Virginia	Passenger	0	1	1	1	2	50	2022
March 31 2022	Wilson	Texas	Passenger	0	1	1	3	4	25	2022
March 31 2020	King	Washington	Truck	5	1	6	"1,82,393"	"1,82,399"	0	2020
May 31 2017	Orange	CalifOregonnIoWashington	Passenger	3	1	4	655	659	0.61	2017
March 31 2020	Los Angeles	CalifOregonnIoWashington	Passenger	6	12	18	"1,063"	"1,081"	1.67	2020
January 31 2020	San Francisco	CalifOregonnIoWashington	Passenger	2	1	3	107	110	2.73	2020
January 31 2022	Greene	MissouRhoDelaware IslaNorth Dakota	Passenger	0	1	1	28	29	3.45	2022
February 28 2022	Douglas	Washington	Passenger	122	55	177	"28,549"	"28,726"	0.62	2022
December 31 2019	Grays Harbor	Washington	Truck	0	0	0	"20,767"	"20,767"	0	2019
October 31 2022	St. Louis	MissouRhoDelaware IslaNorth Dakota	Passenger	2	0	2	63	65	3.08	2022
July 31 2020	Shelby	Tennessee	Passenger	0	1	1	90	91	1.1	2020
November 30 2020	Howard	INorth Dakotaiana	Passenger	0	1	1	3	4	25	2020
January 31 2022	Kitsap	Washington	Passenger	"2,188"	968	"3,156"	"1,79,664"	"1,82,820"	1.73	2022
June 30 2019	Anne Arundel	M ArkansaskansasylaNorth Dakota	Passenger	1	1	2	435	437	0.46	2019
September 30 2022	Alameda	CalifOregonnIoWashington	Passenger	6	1	7	191	198	3.54	2022
July 31 2022	Pulaski	MissouRhoDelaware IslaNorth Dakota	Passenger	1	0	1	112	113	0.88	2022
January 31 2019	Pinal	 ArkansaskansashoDelaware IslaNorth Dakotazona	Passenger	2	0	2	207	209	0.96	2019
December 31 2022	Yellowstone	Montana	Passenger	0	1	1	16	17	5.88	2022
February 28 2021	Whatcom	Washington	Passenger	"1,277"	572	"1,849"	"1,49,978"	"1,51,827"	1.22	2021
March 31 2020	Mason	Washington	Passenger	153	133	286	"47,497"	"47,783"	0.6	2020
October 31 2023	Stevens	Washington	Truck	2	0	2	"18,582"	"18,584"	0.01	2023
February 28 2018	Flathead	Montana	Passenger	1	0	1	57	58	1.72	2018
May 31 2022	Sarpy	Nebraska	Passenger	1	0	1	62	63	1.59	2022
June 30 2021	Jefferson	Washington	Truck	0	0	0	"9,622"	"9,622"	0	2021
February 29 2020	Garfield	Washington	Truck	0	0	0	963	963	0	2020
September 30 2022	Wahkiakum	Washington	Truck	1	0	1	"1,799"	"1,800"	0.06	2022
April 30 2023	Douglas	Washington	Passenger	189	59	248	"28,647"	"28,895"	0.86	2023
March 31 2021	Riverside	CalifOregonnIoWashington	Passenger	5	1	6	587	593	1.01	2021
September 30 2019	Lake	IllINorth Dakotaianaois	Passenger	1	0	1	175	176	0.57	2019
January 31 2020	Washtenaw	Michigan	Passenger	1	0	1	40	41	2.44	2020
July 31 2023	Galveston	Texas	Passenger	0	1	1	14	15	6.67	2023
June 30 2022	Spokane	Washington	Passenger	"1,597"	848	"2,445"	"3,25,040"	"3,27,485"	0.75	2022
January 31 2018	Clark	Washington	Passenger	873	599	"1,472"	"3,05,270"	"3,06,742"	0.48	2018
January 31 2022	Jefferson	Washington	Truck	0	0	0	"9,569"	"9,569"	0	2022
December 31 2017	Honolulu	HaWashingtonii	Passenger	2	2	4	572	576	0.69	2017
March 31 2017	Wayne	Michigan	Passenger	0	1	1	74	75	1.33	2017
March 31 2018	San Juan	Washington	Truck	0	0	0	"5,655"	"5,655"	0	2018
August 31 2020	Thurston	Washington	Truck	0	0	0	"55,967"	"55,967"	0	2020
January 31 2017	Collin	Texas	Passenger	0	1	1	160	161	0.62	2017
May 31 2017	Dale	ALouisianaba Massachusetts	Passenger	0	1	1	62	63	1.59	2017
January 31 2020	Island	Washington	Passenger	392	258	650	"63,542"	"64,192"	1.01	2020
January 31 2020	Pacific	Washington	Passenger	30	31	61	"16,091"	"16,152"	0.38	2020
March 31 2017	Franklin	Washington	Truck	0	0	0	"17,957"	"17,957"	0	2017
September 30 2022	Thurston	Washington	Truck	21	0	21	"54,976"	"54,997"	0.04	2022
June 30 2022	Meade	Kentucky	Passenger	1	0	1	22	23	4.35	2022
August 31 2020	Bradley	Tennessee	Passenger	1	0	1	1	2	50	2020
August 31 2021	Lake	INorth Dakotaiana	Passenger	0	1	1	11	12	8.33	2021
April 30 2022	Sevier	 Arkansaskansas	Passenger	0	1	1	0	1	100	2022
February 28 2022	District of Columbia	District of Columbia	Passenger	4	0	4	189	193	2.07	2022
September 30 2022	Fort Bend	Texas	Passenger	1	0	1	24	25	4	2022
December 31 2018	Anne Arundel	M ArkansaskansasylaNorth Dakota	Passenger	0	1	1	448	449	0.22	2018
November 30 2021	Boulder	ColOregonado	Passenger	2	1	3	44	47	6.38	2021
December 31 2017	Kitsap	Washington	Passenger	693	377	"1,070"	"1,75,842"	"1,76,912"	0.6	2017
April 30 2019	Lake	CalifOregonnIoWashington	Passenger	0	1	1	10	11	9.09	2019
December 31 2023	Madison	IllINorth Dakotaianaois	Passenger	1	0	1	15	16	6.25	2023
March 31 2021	Grays Harbor	Washington	Truck	0	0	0	"21,265"	"21,265"	0	2021
March 31 2018	El Paso	Texas	Passenger	1	0	1	527	528	0.19	2018
January 31 2024	Larimer	ColOregonado	Passenger	1	0	1	18	19	5.26	2024
June 30 2021	Adams	Washington	Truck	0	0	0	"5,385"	"5,385"	0	2021
August 31 2022	Thurston	Washington	Passenger	"2,325"	"1,084"	"3,409"	"1,92,747"	"1,96,156"	1.74	2022
January 31 2022	Pend Oreille	Washington	Passenger	17	9	26	"9,111"	"9,137"	0.28	2022
March 31 2022	Ferry	Washington	Passenger	17	3	20	"4,430"	"4,450"	0.45	2022
January 31 2018	Contra Costa	CalifOregonnIoWashington	Passenger	0	1	1	465	466	0.21	2018
June 30 2017	Ventura	CalifOregonnIoWashington	Passenger	0	1	1	363	364	0.27	2017
April 30 2020	Skamania	Washington	Truck	0	0	0	"4,052"	"4,052"	0	2020
October 31 2021	San Juan	Washington	Truck	0	0	0	"5,974"	"5,974"	0	2021
February 28 2022	Hudson	New Jersey	Passenger	2	0	2	41	43	4.65	2022
June 30 2022	Wichita	Texas	Passenger	1	0	1	41	42	2.38	2022
September 30 2023	James City	Virginia	Passenger	1	0	1	38	39	2.56	2023
February 28 2019	Rogers	Oklahoma	Passenger	1	0	1	5	6	16.67	2019
March 31 2022	Stevens	Washington	Passenger	60	50	110	"30,053"	"30,163"	0.36	2022
January 31 2023	Charleston	SoUtahh C Arkansaskansasolina	Passenger	2	2	4	62	66	6.06	2023
September 30 2018	Broward	FlOregonIdahoa	Passenger	1	1	2	137	139	1.44	2018
April 30 2020	Dakota	MinNebraskasota	Passenger	0	1	1	31	32	3.12	2020
March 31 2017	St. Lucie	FlOregonIdahoa	Passenger	1	0	1	31	32	3.12	2017
February 29 2020	Monroe	IllINorth Dakotaianaois	Passenger	1	0	1	3	4	25	2020
November 30 2020	Franklin	Washington	Passenger	78	80	158	"61,150"	"61,308"	0.26	2020
June 30 2019	St. Clair	IllINorth Dakotaianaois	Passenger	0	1	1	166	167	0.6	2019
August 31 2022	Maricopa	 ArkansaskansashoDelaware IslaNorth Dakotazona	Passenger	8	3	11	960	971	1.13	2022
April 30 2023	Garfield	Washington	Truck	0	0	0	979	979	0	2023
March 31 2023	Lincoln	Oregon	Passenger	0	1	1	15	16	6.25	2023
November 30 2019	Grays Harbor	Washington	Passenger	99	99	198	"48,343"	"48,541"	0.41	2019
November 30 2020	Skamania	Washington	Truck	0	0	0	"4,006"	"4,006"	0	2020
September 30 2021	Providence	RhoDelaware IslaNorth Dakota	Passenger	1	0	1	27	28	3.57	2021
July 31 2021	Wilson	 NOregonth C Arkansaskansasolina	Passenger	1	0	1	0	1	100	2021
March 31 2021	Kitsap	Washington	Passenger	"1,674"	799	"2,473"	"1,79,647"	"1,82,120"	1.36	2021
August 31 2021	Walla Walla	Washington	Passenger	121	82	203	"36,465"	"36,668"	0.55	2021
September 30 2019	San Diego	CalifOregonnIoWashington	Passenger	11	3	14	"2,760"	"2,774"	0.5	2019
April 30 2022	Arapahoe	ColOregonado	Passenger	0	1	1	94	95	1.05	2022
February 29 2024	New London	ConnecticUtah	Passenger	2	2	4	142	146	2.74	2024
April 30 2022	DuPage	IllINorth Dakotaianaois	Passenger	3	1	4	50	54	7.41	2022
September 30 2020	Shelby	Ohio	Passenger	0	1	1	2	3	33.33	2020
September 30 2021	Grays Harbor	Washington	Passenger	183	150	333	"49,466"	"49,799"	0.67	2021
July 31 2022	Mason	Washington	Passenger	319	174	493	"47,081"	"47,574"	1.04	2022
January 31 2021	Plaquemines	Louisiana	Passenger	0	1	1	15	16	6.25	2021
February 28 2022	St. Clair	IllINorth Dakotaianaois	Passenger	1	0	1	124	125	0.8	2022
April 30 2017	Stevens	Washington	Truck	0	0	0	"18,284"	"18,284"	0	2017
May 31 2021	Sevier	 Arkansaskansas	Passenger	0	1	1	0	1	100	2021
July 31 2019	Clallam	Washington	Passenger	177	144	321	"50,640"	"50,961"	0.63	2019
June 30 2023	Klickitat	Washington	Truck	12	0	12	"8,237"	"8,249"	0.15	2023
July 31 2023	Atlantic	New Jersey	Passenger	1	0	1	9	10	10	2023
October 31 2019	Adams	Washington	Truck	0	0	0	"5,152"	"5,152"	0	2019
November 30 2020	Whitman	Washington	Truck	0	0	0	"8,490"	"8,490"	0	2020
March 31 2018	Bexar	Texas	Passenger	2	2	4	794	798	0.5	2018
January 31 2023	Jackson	Oklahoma	Passenger	0	1	1	32	33	3.03	2023
February 29 2020	Ulster	 New YOregonk	Passenger	1	0	1	13	14	7.14	2020
May 31 2022	Skamania	Washington	Truck	0	0	0	"3,966"	"3,966"	0	2022
December 31 2023	Thurston	Washington	Passenger	"3,780"	"1,391"	"5,171"	"1,87,493"	"1,92,664"	2.68	2023
December 31 2018	St. Mary's	M ArkansaskansasylaNorth Dakota	Passenger	1	0	1	211	212	0.47	2018
February 29 2024	Ventura	CalifOregonnIoWashington	Passenger	3	2	5	174	179	2.79	2024
January 31 2018	New London	ConnecticUtah	Passenger	1	0	1	249	250	0.4	2018
January 31 2021	Monterey	CalifOregonnIoWashington	Passenger	0	2	2	157	159	1.26	2021
February 28 2022	Champaign	IllINorth Dakotaianaois	Passenger	1	0	1	14	15	6.67	2022
June 30 2020	Albemarle	Virginia	Passenger	1	0	1	23	24	4.17	2020
September 30 2022	Adams	ColOregonado	Passenger	1	0	1	33	34	2.94	2022
February 28 2017	Mason	Washington	Passenger	47	61	108	"42,774"	"42,882"	0.25	2017
November 30 2018	Fresno	CalifOregonnIoWashington	Passenger	1	0	1	197	198	0.51	2018
June 30 2019	Tulsa	Oklahoma	Passenger	1	1	2	51	53	3.77	2019
January 31 2021	Douglas	ColOregonado	Passenger	0	1	1	84	85	1.18	2021
January 31 2022	Fairfax	Virginia	Passenger	4	3	7	673	680	1.03	2022
September 30 2021	Contra Costa	CalifOregonnIoWashington	Passenger	2	4	6	261	267	2.25	2021
September 30 2020	Multnomah	Oregon	Passenger	4	6	10	717	727	1.38	2020
July 31 2021	Asotin	Washington	Truck	0	0	0	"6,765"	"6,765"	0	2021
May 31 2022	Randolph	 NOregonth C Arkansaskansasolina	Passenger	1	0	1	6	7	14.29	2022
November 30 2023	Chelan	Washington	Passenger	721	205	926	"53,795"	"54,721"	1.69	2023
March 31 2017	Oklahoma	Oklahoma	Passenger	0	1	1	173	174	0.57	2017
June 30 2020	Placer	CalifOregonnIoWashington	Passenger	2	0	2	96	98	2.04	2020
November 30 2023	Moore	 NOregonth C Arkansaskansasolina	Passenger	0	1	1	100	101	0.99	2023
October 31 2022	Arlington	Virginia	Passenger	1	0	1	116	117	0.85	2022
June 30 2020	Hudson	New Jersey	Passenger	1	0	1	40	41	2.44	2020
May 31 2019	San Juan	Puerto Rico	Passenger	0	1	1	3	4	25	2019
May 31 2019	Yakima	Washington	Truck	0	0	0	"59,080"	"59,080"	0	2019
June 30 2019	Nueces	Texas	Passenger	1	1	2	96	98	2.04	2019
March 31 2022	Hawaii	HaWashingtonii	Passenger	1	0	1	43	44	2.27	2022
May 31 2018	Saratoga	 New YOregonk	Passenger	1	1	2	63	65	3.08	2018
March 31 2022	Clallam	Washington	Passenger	402	240	642	"49,959"	"50,601"	1.27	2022
August 31 2021	San Juan	Washington	Passenger	452	141	593	"14,201"	"14,794"	4.01	2021
September 30 2020	Anne Arundel	M ArkansaskansasylaNorth Dakota	Passenger	1	1	2	400	402	0.5	2020
November 30 2017	St. Clair	IllINorth Dakotaianaois	Passenger	0	1	1	164	165	0.61	2017
June 30 2019	Calvert	M ArkansaskansasylaNorth Dakota	Passenger	0	2	2	85	87	2.3	2019
August 31 2021	Island	Washington	Passenger	645	318	963	"63,120"	"64,083"	1.5	2021
September 30 2021	Asotin	Washington	Passenger	20	17	37	"12,726"	"12,763"	0.29	2021
December 31 2023	Pacific	Washington	Truck	6	0	6	"7,767"	"7,773"	0.08	2023
March 31 2018	Norfolk	Virginia	Passenger	1	2	3	331	334	0.9	2018
May 31 2021	New London	ConnecticUtah	Passenger	1	1	2	226	228	0.88	2021
July 31 2023	Kitsap	Washington	Truck	80	0	80	"52,159"	"52,239"	0.15	2023
September 30 2022	Clallam	Washington	Truck	6	0	6	"21,874"	"21,880"	0.03	2022
June 30 2022	Klickitat	Washington	Passenger	103	55	158	"15,231"	"15,389"	1.03	2022
September 30 2017	Montgomery	Tennessee	Passenger	1	0	1	279	280	0.36	2017
June 30 2021	Burlington	New Jersey	Passenger	0	1	1	131	132	0.76	2021
May 31 2022	San Juan	Washington	Passenger	499	152	651	"14,085"	"14,736"	4.42	2022
May 31 2017	Okaloosa	FlOregonIdahoa	Passenger	1	0	1	187	188	0.53	2017
March 31 2017	Prince William	Virginia	Passenger	0	4	4	276	280	1.43	2017
February 28 2019	Pend Oreille	Washington	Truck	0	0	0	"5,738"	"5,738"	0	2019
June 30 2022	Tarrant	Texas	Passenger	2	0	2	125	127	1.57	2022
April 30 2022	Autauga	ALouisianaba Massachusetts	Passenger	1	0	1	12	13	7.69	2022
October 31 2017	Okaloosa	FlOregonIdahoa	Passenger	1	0	1	188	189	0.53	2017
February 28 2017	Palm Beach	FlOregonIdahoa	Passenger	0	1	1	100	101	0.99	2017
November 30 2018	Charleston	SoUtahh C Arkansaskansasolina	Passenger	1	0	1	130	131	0.76	2018
January 31 2024	Arapahoe	ColOregonado	Passenger	1	1	2	61	63	3.17	2024
September 30 2021	Sarasota	FlOregonIdahoa	Passenger	2	0	2	36	38	5.26	2021
March 31 2023	Jefferson	Washington	Passenger	524	247	771	"24,285"	"25,056"	3.08	2023
March 31 2017	Collin	Texas	Passenger	0	1	1	153	154	0.65	2017
March 31 2022	Philadelphia	 PennsylVirginiania	Passenger	1	0	1	41	42	2.38	2022
February 29 2020	Deschutes	Oregon	Passenger	4	0	4	149	153	2.61	2020
June 30 2022	Muscogee	GeOregongIoWashington	Passenger	0	1	1	123	124	0.81	2022
June 30 2017	Wayne	Michigan	Passenger	0	1	1	72	73	1.37	2017
July 31 2023	Snohomish	Washington	Passenger	"13,190"	"3,142"	"16,332"	"5,27,416"	"5,43,748"	3	2023
April 30 2019	Ferry	Washington	Passenger	4	2	6	"4,371"	"4,377"	0.14	2019
July 31 2018	Montgomery	M ArkansaskansasylaNorth Dakota	Passenger	1	0	1	289	290	0.34	2018
December 31 2019	Shelby	Tennessee	Passenger	0	1	1	99	100	1	2019
September 30 2020	St. Louis	MissouRhoDelaware IslaNorth Dakota	Passenger	1	0	1	99	100	1	2020
December 31 2019	Arapahoe	ColOregonado	Passenger	1	0	1	145	146	0.68	2019
March 31 2021	Fairbanks North Star	ALouisianaba Massachusettsaska	Passenger	0	1	1	89	90	1.11	2021
October 31 2020	Putnam	Tennessee	Passenger	0	1	1	2	3	33.33	2020
March 31 2021	Carroll	New Hampshire	Passenger	0	1	1	5	6	16.67	2021
March 31 2020	Clay	FlOregonIdahoa	Passenger	0	1	1	84	85	1.18	2020
September 30 2018	Maricopa	 ArkansaskansashoDelaware IslaNorth Dakotazona	Passenger	2	2	4	"1,616"	"1,620"	0.25	2018
June 30 2020	DeKalb	GeOregongIoWashington	Passenger	1	0	1	84	85	1.18	2020
March 31 2019	Jefferson	Washington	Truck	0	0	0	"9,640"	"9,640"	0	2019
February 28 2019	Gwinnett	GeOregongIoWashington	Passenger	0	1	1	78	79	1.27	2019
June 30 2022	Montgomery	 PennsylVirginiania	Passenger	2	0	2	24	26	7.69	2022
May 31 2023	Clark	Washington	Passenger	"5,651"	"2,287"	"7,938"	"3,13,802"	"3,21,740"	2.47	2023
June 30 2021	Benton	Washington	Truck	0	0	0	"43,627"	"43,627"	0	2021
June 30 2020	Grant	Washington	Passenger	59	71	130	"65,223"	"65,353"	0.2	2020
March 31 2020	St. Mary's	M ArkansaskansasylaNorth Dakota	Passenger	1	0	1	210	211	0.47	2020
March 31 2023	James City	Virginia	Passenger	1	0	1	40	41	2.44	2023
February 28 2023	Shasta	CalifOregonnIoWashington	Passenger	1	0	1	24	25	4	2023
April 30 2019	Washoe	NeVirginiada	Passenger	2	0	2	113	115	1.74	2019
May 31 2022	Fairfax	Virginia	Passenger	6	3	9	650	659	1.37	2022
January 31 2023	Dorchester	SoUtahh C Arkansaskansasolina	Passenger	1	0	1	54	55	1.82	2023
December 31 2021	San Joaquin	CalifOregonnIoWashington	Passenger	1	1	2	101	103	1.94	2021
December 31 2018	Ventura	CalifOregonnIoWashington	Passenger	0	2	2	327	329	0.61	2018
February 28 2023	Montgomery	ALouisianaba Massachusetts	Passenger	0	1	1	36	37	2.7	2023
December 31 2020	Ulster	 New YOregonk	Passenger	1	0	1	13	14	7.14	2020
August 31 2022	Island	Washington	Passenger	856	379	"1,235"	"61,669"	"62,904"	1.96	2022
August 31 2018	Jefferson	Washington	Passenger	152	101	253	"24,677"	"24,930"	1.01	2018
November 30 2022	Berkeley	SoUtahh C Arkansaskansasolina	Passenger	0	1	1	115	116	0.86	2022
July 31 2020	Queens	 New YOregonk	Passenger	1	0	1	51	52	1.92	2020
April 30 2023	Lincoln	Oregon	Passenger	0	1	1	14	15	6.67	2023
November 30 2019	Prince William	Virginia	Passenger	1	4	5	234	239	2.09	2019
December 31 2022	Geary	Kansas	Passenger	1	0	1	77	78	1.28	2022
September 30 2020	Columbia	Washington	Truck	0	0	0	"1,531"	"1,531"	0	2020
January 31 2019	St. Lucie	FlOregonIdahoa	Passenger	1	0	1	30	31	3.23	2019
November 30 2022	Nassau	 New YOregonk	Passenger	2	0	2	26	28	7.14	2022
November 30 2021	Ventura	CalifOregonnIoWashington	Passenger	2	2	4	261	265	1.51	2021
January 31 2018	New Haven	ConnecticUtah	Passenger	0	1	1	54	55	1.82	2018
February 28 2023	Grant	Washington	Truck	7	0	7	"28,061"	"28,068"	0.02	2023
September 30 2018	Utah	Utah	Passenger	0	1	1	145	146	0.68	2018
December 31 2017	Nueces	Texas	Passenger	1	1	2	92	94	2.13	2017
June 30 2022	Ulster	 New YOregonk	Passenger	1	0	1	14	15	6.67	2022
October 31 2022	Okaloosa	FlOregonIdahoa	Passenger	0	1	1	99	100	1	2022
August 31 2018	Adams	Washington	Passenger	5	5	10	"12,678"	"12,688"	0.08	2018
August 31 2018	Clark	Washington	Passenger	"1,069"	765	"1,834"	"3,09,183"	"3,11,017"	0.59	2018
July 31 2020	St. Mary's	M ArkansaskansasylaNorth Dakota	Passenger	1	0	1	214	215	0.47	2020
September 30 2019	San Mateo	CalifOregonnIoWashington	Passenger	2	1	3	127	130	2.31	2019
July 31 2019	Santa Fe	New Mexico	Passenger	0	1	1	40	41	2.44	2019
July 31 2022	Nueces	Texas	Passenger	1	1	2	55	57	3.51	2022
September 30 2022	Spartanburg	SoUtahh C Arkansaskansasolina	Passenger	0	1	1	33	34	2.94	2022
July 31 2022	Marion	IoWashington	Passenger	1	0	1	0	1	100	2022
November 30 2023	Island	Washington	Passenger	"1,272"	471	"1,743"	"60,687"	"62,430"	2.79	2023
July 31 2019	Honolulu	HaWashingtonii	Passenger	3	3	6	510	516	1.16	2019
March 31 2023	Whitman	Washington	Truck	4	0	4	"8,604"	"8,608"	0.05	2023
February 28 2017	Wahkiakum	Washington	Truck	0	0	0	"1,625"	"1,625"	0	2017
December 31 2022	Santa Clara	CalifOregonnIoWashington	Passenger	11	4	15	211	226	6.64	2022
August 31 2019	Bergen	New Jersey	Passenger	1	0	1	28	29	3.45	2019
November 30 2019	San Mateo	CalifOregonnIoWashington	Passenger	1	1	2	130	132	1.52	2019
June 30 2020	Pend Oreille	Washington	Truck	0	0	0	"5,758"	"5,758"	0	2020
October 31 2017	Ventura	CalifOregonnIoWashington	Passenger	0	1	1	342	343	0.29	2017
September 30 2018	Santa Fe	New Mexico	Passenger	0	1	1	45	46	2.17	2018
June 30 2020	Flathead	Montana	Passenger	1	0	1	65	66	1.52	2020
October 31 2018	Suffolk	 Massachusetts	Passenger	0	1	1	44	45	2.22	2018
February 28 2023	Kings	CalifOregonnIoWashington	Passenger	2	1	3	290	293	1.02	2023
April 30 2023	Arapahoe	ColOregonado	Passenger	1	1	2	85	87	2.3	2023
January 31 2019	St. Clair	IllINorth Dakotaianaois	Passenger	0	1	1	170	171	0.58	2019
August 31 2022	Skagit	Washington	Passenger	854	348	"1,202"	"89,723"	"90,925"	1.32	2022
September 30 2018	Pinal	 ArkansaskansashoDelaware IslaNorth Dakotazona	Passenger	2	0	2	206	208	0.96	2018
May 31 2018	Broward	FlOregonIdahoa	Passenger	1	1	2	131	133	1.5	2018
December 31 2022	Marin	CalifOregonnIoWashington	Passenger	1	1	2	31	33	6.06	2022
March 31 2023	Marin	CalifOregonnIoWashington	Passenger	1	1	2	30	32	6.25	2023
March 31 2021	Montgomery	M ArkansaskansasylaNorth Dakota	Passenger	1	0	1	235	236	0.42	2021
December 31 2023	Montgomery	M ArkansaskansasylaNorth Dakota	Passenger	6	2	8	164	172	4.65	2023
September 30 2023	Marion	IoWashington	Passenger	1	0	1	0	1	100	2023
August 31 2019	New Haven	ConnecticUtah	Passenger	0	2	2	48	50	4	2019
December 31 2020	Greene	MissouRhoDelaware IslaNorth Dakota	Passenger	0	1	1	35	36	2.78	2020
November 30 2022	Miami-Dade	FlOregonIdahoa	Passenger	1	0	1	67	68	1.47	2022
March 31 2023	Douglas	Washington	Truck	6	0	6	"12,885"	"12,891"	0.05	2023
March 31 2019	Nueces	Texas	Passenger	1	1	2	92	94	2.13	2019
December 31 2021	Mason	Washington	Truck	0	0	0	"21,197"	"21,197"	0	2021
August 31 2017	Pend Oreille	Washington	Truck	0	0	0	"5,551"	"5,551"	0	2017
February 28 2018	Brevard	FlOregonIdahoa	Passenger	0	1	1	103	104	0.96	2018
March 31 2021	Santa Clara	CalifOregonnIoWashington	Passenger	9	2	11	285	296	3.72	2021
September 30 2020	Sumter	FlOregonIdahoa	Passenger	0	1	1	11	12	8.33	2020
May 31 2019	DuPage	IllINorth Dakotaianaois	Passenger	1	0	1	65	66	1.52	2019
October 31 2020	Grant	Washington	Passenger	71	81	152	"65,725"	"65,877"	0.23	2020
December 31 2021	Ferry	Washington	Truck	0	0	0	"3,595"	"3,595"	0	2021
October 31 2021	Allen	INorth Dakotaiana	Passenger	1	0	1	20	21	4.76	2021
June 30 2021	New Haven	ConnecticUtah	Passenger	0	2	2	34	36	5.56	2021
October 31 2022	Grays Harbor	Washington	Passenger	231	166	397	"48,685"	"49,082"	0.81	2022
February 28 2022	Chelan	Washington	Passenger	429	121	550	"54,545"	"55,095"	1	2022
June 30 2019	Walla Walla	Washington	Truck	0	0	0	"13,591"	"13,591"	0	2019
December 31 2021	Skamania	Washington	Truck	0	0	0	"3,998"	"3,998"	0	2021
July 31 2023	Berkeley	SoUtahh C Arkansaskansasolina	Passenger	0	1	1	96	97	1.03	2023
March 31 2023	Fairfax	Virginia	Passenger	7	3	10	594	604	1.66	2023
July 31 2022	Sacramento	CalifOregonnIoWashington	Passenger	3	1	4	221	225	1.78	2022
June 30 2018	Jefferson	ColOregonado	Passenger	0	1	1	63	64	1.56	2018
